quotation	type	source	translation	notes
Asinum sub fraeno currere docere.	proverb		To teach an ass to obey the rein.	"A task which was considered by the ancients to be ""labour in vain."" See At si cognatos, &c."
Antequam incipias consulto, et ubi consulueris facto opus est.		cicero	Before you begin, consider, and when you have considered, act.	
Antiqua homo virtute ac fide.		terentius	A man of the virtue and fidelity of the olden time.	
Ad consilium ne accesseris, antequam voceris.	proverb		Go not to the council-chamber before yon are summoned.	Speak when you are spoken to, and come when you are called.
Asinus asino, et sus sui pulcher.			An ass to ass is a beauty, a swine to a swine.	"Somewhat similar to our saying, ""Every Jack has his Jill."" A fortunate feature in the harmonious system of nature."
Asinus inter simias.	proverb		An ass among apes.	Said of a fool among ill-natured persons who make a butt of him.
Ad eundem.			To the same (rank or class).	Graduates of one university, when admitted to the same degree in another, but not incorporated as members, are said to be admitted ad eundem.
Asinus in unguento.	proverb		An ass among perfumes.	Said of a person out of his element.
Ad interim.			For/during the meanwhile.	A temporary substitute is appointed to act ad interim.
Asperae facetiae, ubi nimis ex vero traxere, acrem sui memoriam relinquunt.		tacitus	Cutting jokes, especially when based too much upon truth, leave a bitter remembrance.	The truth of this is experienced by those who  prefer to have their joke, and lose their friend.
Ad libitum.			At pleasure.	In music this term is used to show that the passage may be played at the discretion of the performer.
Asperitas agrestis et inconcinna gravisque.		horatius	A clownish roughness, churlish and ill at ease.	
Ad mala quisque animum referat sua.		ovidius	Let each person recall to mind his own mishaps.	
Asperius nihil est humili cum surgit in altum.		claudianus	Nothing is more unendurable than a low-bred man, when he attains an elevated station.	"We have a proverb to the same effect, ""Set a beggar on horseback, and he will ride to the devil."""
Ad mensuram aquam bibit.			He drinks water by measure.	
Aspice curvatos pomorum pondere ramos.		ovidius	Behold the branches bending beneath the weight of apples.	
Antiquitas saeculi juventus mundi.			Ancient time was the youth of the world.	An aphorism of Lord Bacon, for which, according to Hal'am and Whewell, he is indebted to Giordano Bruno.
Ad minora me demittere non recusabo.		quintilianus	I will not refuse to descend to the most minute details.	I will sift the matter to the bottom.
Ad mores natura recurrit Damnatos, fixa et mutari nescia.		iunius iuvenalis	Human nature ever reverts to its depraved courses, fixed and immutable.	
Anus simia sero quidem.	proverb		The old ape is taken at last.	"Of the same meaning as our saying, ""The old fox is caught at last."""
Ad nomen vultus sustulit illa suos.		ovidius	On hearing her name she raised her eyes.	
Aperit praecordia Liber.		horatius	Bacchus opens the heart.	
Assiduo labuntur tempora motu Non secus ac flumen. Neque enim consistere flumen, Nec levis hora potest.			Time glides on with a constant progress, no otherwise than as a flowing stream. For neither can the stream nor the fleeting hour stop in its course.	
Amici vitium ni feras, prodis tuum.		publilius syrus	Unless you can put up with the faults of your friend, you betray your own.	You show that either the ties of friendship are easily relaxed, or that you are put out of temper by trifles.
Ad nullum consurgit opus, cum corpore languet.		cornelius gallus	The mind cannot grapple with any task when the body is languid.	
Aperte mala cum est mulier, tum demum est bona.		publilius syrus	When a woman is openly bad, then she is good.	This paradoxical expression implies that less injury results to the world from open dissoluteness, than from the hypocrisy of those who conceal profligacy under the guise of sanctity and virtue.
Amicitia semper prodest, amor et nocet.		laber(?)	Friendship is always productive of advantage, and love of injury.	This dictum seems to be stated in rather too general terms.
Aperto vivere voto.		persius	To live with every wish revealed.	The motto of the Earl of Aylesford.
Amicorum, magis quam tuam ipsius laudem, praedica.			Enlarge upon the praises of your friends rather than on your own.	
Assumpsit.	law term		He engaged to pay.	An action of assumpsit lies on the promise to pay, which the law implies on the part of every man who buys of another.
Apio opus est.	proverb		There is need of parsley.	Said when a sick person was past all hope of recovery. The Grecians sowed the graves of the dead with this herb.
Ast alii sex Et plures, uno conclamant ore.		iunius iuvenalis	Six others, ay more, with one voice assent.	
Apparatus belli.			The matériel of war.	
Astra regunt homines, sed regit astra Deus.			The stars govern man, but God governs the stars.	The belief of the astrologers.
Amicos res opimae pariunt, adversae probant.		publilius syrus	Prosperity begets friends, adversity proves them.	
Apparent rari nantes in gurgite vasto.		virgilius	A few are seen here and there, swimming in the boundless ocean.	Virgil here describes the shipwrecked sailors of the Trojan fleet.
Astutior coccyge.	proverb		More crafty than the cuckoo.	who lays her eggs in the nest of another bird.
At daemon homini quum struit aliquid malum, Pervertit illi primitus mentem suam.		euripides (as quoted by athenagoras)	But the daemon, when he devises any mischief against a man, first perverts his mind.	See Quem Deus, &c, and Quem Jupiter, &c.
Appetitus rationi pareat.		cicero	Let your passions be obedient to reason.	Employed as the motto or Earl Fitzwilliam.
At haec etiam servis semper libera fuerunt, timerent, gauderent, dolerent, suo potius quam alterius arbitrio.		cicero	Slaves, even, have always been at liberty to fear, to rejoice, to grieve, at their own pleasure, and not at the will of another.	"The body may be ""cribb'd, cabin' d, and confin'd, but the mind cannot be chained."""
At jam non domus accipiet te laeta; neque uxor Optima, nec dulces occurrent oscula nati				
At pulchrum est digito monstrari et dicier, Hic est.		persius	It is a gratifying thing to be pointed at with the finger, and to have it said, That is he.	Of course this applies to a man who has become famous, not notorious.
Aquam perdo.			I lose my time.	"Time was measured by the ancients by means of water running in the clepsydra, as in more modern days by sand. A certain portion of time was allotted to each orator to plead his cause; whence the present expression, which literally means, ""I am losing the water."""
At reditus jam quisque suos amat, et sibi quid sit Utile, solicitis supputat articulis.		ovidius	Now-a-days every one loves his own interests, and reckons, on his anxious fingers, what may turn out useful	
Aquam plorat cum lavat fundere.		plautus	He weeps at throwing away the water in which he was washed.	Said of a miser.
Aquila non capit muscas.	proverb		The eagle does not stoop to catch flies.	
Aquilae senecta.	proverb		The old age of an eagle.	Applied to aged topers — as the eagle was supposed, in its latter years, to live by suction only.
At scio, quo vos soleatis pacto perplexarier; Pactum non pactum est; non pactum pactum est, quod vobis lubet.		plautus	But I understand the fashion in which you are wont to	
Aquilam volare doces.	proverb		You are for teaching an eagle how to fly.	"You are teaching your grandam,"" &c."
At si cognatos, nullo natura labore Quos tibi dat, retinere velis, servareque amicos, Infelix operam perdas, ut si quis asellum In campo doceat parentem currere fraenis.		horatius	If you think to retain and preserve as friends the relatives whom nature gives you, without taking any pains, wretched man! you lose your pains just as much as if a person were to train an ass to be obedient to the rein, run along the plain.	See Asinum sub, &c.
Auro contra cedo modestum amatorem.		plautus	Find me a reasonable lover against his weight in gold.	
Aquosus languor.			The watery weakness.	The dropsy.
At vindicta bonum vita jucundius ipsa, Nempe hoc indocti.		iunius iuvenalis	But revenge is a blessing more sweet than life itself. Yes, fools think so.	
Auro loquente nihil pollet quaevis ratio.	proverb		When gold speaks, no reason is of the slightest avail.	
Aranearum telas texere.			To weave a spider's web.	Meaning, to support an argument by fine-spun sophistry, or to engage in a frivolous pursuit.Meaning, to support an argument by fine-spun sophistry, or to engage in a frivolous pursuit.
